,Unnamed: 0,smiles,FDA_APPROVED,CT_TOX,fp,cluster
187,187,c1cc(ccc1C2C[NH2+]CCc3c2cc(c(c3Cl)O)O)O,1,0,[0 0 0 ... 0 0 0],0
509,509,C[C@H](Cc1ccccc1)[NH+](C)CC#C,1,0,[0 1 0 ... 0 0 0],1
782,782,CC(Cc1ccccc1)[NH+](C)Cc2ccccc2,1,0,[0 1 0 ... 0 0 0],1
249,249,c1ccc(cc1)[C@H](c2ccc(cc2)Cl)N3CC[NH+](CC3)CCOCC(=O)[O-],1,0,[0 1 0 ... 0 0 0],2
250,250,c1ccc(cc1)[C@H]2c3ccccc3CCN2C(=O)O[C@H]4C[NH+]5CCC4CC5,1,0,[0 0 0 ... 0 0 0],2
252,252,c1ccc(cc1)C(c2ccc(cc2)Cl)N3CC[NH+](CC3)CCOCC(=O)[O-],1,0,[0 1 0 ... 0 0 0],2
253,253,c1ccc(cc1)C(c2ccc(cc2)Cl)N3CC[NH+](CC3)CCOCCO,1,0,[0 1 0 ... 0 0 0],2
254,254,c1ccc(cc1)C(c2ccccc2)([C@@H]3CC[NH+](C3)CCc4ccc5c(c4)CCO5)C(=O)N,1,0,[0 0 0 ... 0 0 0],2
255,255,c1ccc(cc1)C(c2ccccc2)(C(=O)OC3CC4CCC(C3)[N+]45CCCC5)O,1,0,[0 0 0 ... 0 0 0],2
259,259,c1ccc(cc1)C(CC[NH+]2CCCC2)(C3CCCCC3)O,1,0,[0 0 1 ... 0 0 0],2
260,260,c1ccc(cc1)C(CC[NH+]2CCCCC2)(C3CC4CC3C=C4)O,1,0,[0 0 1 ... 0 0 0],2
261,261,c1ccc(cc1)C(CC[NH+]2CCCCC2)(C3CCCC3)O,1,0,[0 0 1 ... 0 0 0],2
262,262,c1ccc(cc1)C(CC[NH+]2CCCCC2)(C3CCCCC3)O,1,0,[0 0 1 ... 0 0 0],2
263,263,c1ccc(cc1)C(CCC[NH+]2CCCCC2)(c3ccccc3)O,1,0,[0 0 1 ... 0 0 0],2
273,273,c1ccc(cc1)C2(CC[NH+](CC2)CCC(C#N)(c3ccccc3)c4ccccc4)C(=O)[O-],1,0,[0 0 0 ... 0 0 0],2
295,295,c1ccc(cc1)CN(CC2=[NH+]CCN2)c3ccccc3,1,0,[0 0 0 ... 0 0 0],2
296,296,c1ccc(cc1)CN2C3C[S+]4CCCC4C3N(C2=O)Cc5ccccc5,1,0,[1 0 0 ... 0 1 0],2
309,309,c1ccc2c(c1)[nH]c(=O)n2C3CC[NH+](CC3)CCCC(c4ccc(cc4)F)c5ccc(cc5)F,1,0,[0 1 0 ... 0 1 0],2
310,310,c1ccc2c(c1)[nH]c(=O)n2C3=CC[NH+](CC3)CCCC(=O)c4ccc(cc4)F,1,0,[0 0 0 ... 0 0 0],2
315,315,c1ccc2c(c1)c(c[nH]2)C(=O)OC3C[C@H]4CC5CC(C3)[NH+]4CC5=O,1,0,[0 0 0 ... 0 0 0],2
318,318,c1ccc2c(c1)c(ns2)N3CC[NH+](CC3)C[C@@H]4CCCC[C@H]4CN5C(=O)[C@H]6[C@@H]7CC[C@@H](C7)[C@H]6C5=O,1,0,[0 0 0 ... 0 0 1],2
319,319,c1ccc2c(c1)c(ns2)N3CC[NH+](CC3)CCc4cc5c(cc4Cl)NC(=O)C5,1,0,[0 0 0 ... 0 0 0],2
331,331,c1ccc2c(c1)CCCC2C3=[NH+]CCN3,1,0,[0 0 0 ... 0 0 0],2
340,340,c1ccn2c(c1)nn(c2=O)CCC[NH+]3CCN(CC3)c4cccc(c4)Cl,1,0,[0 0 0 ... 0 0 0],2
342,342,c1ccnc(c1)[C@H](c2ccc(cc2)Cl)OC3CC[NH+](CC3)CCCC(=O)[O-],1,0,[0 1 0 ... 0 0 0],2
384,384,C[C@@](c1ccccc1)(c2ccc(cc2)Cl)OCC[C@H]3CCC[NH+]3C,1,0,[0 0 0 ... 0 0 0],2
552,552,C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)C(c4cccs4)(c5cccs5)O)C,1,0,[0 0 0 ... 0 0 0],2
553,553,C[N+]1(C2CCC1CC(C2)OC(=O)C(c3ccccc3)O)C,1,0,[0 1 0 ... 0 0 0],2
556,556,C[N+]1(CCC(C1)OC(=O)C(c2ccccc2)(C3CCCC3)O)C,1,0,[0 0 0 ... 0 0 0],2
561,561,C[N+]1(CCCC(C1)OC(=O)C(c2ccccc2)(c3ccccc3)O)C,1,0,[0 0 0 ... 0 0 0],2
564,564,C[N+]1(CCN(CC1)CC(c2ccccc2)(C3CCCCC3)O)C,1,0,[0 0 1 ... 0 0 0],2
565,565,C[N+]12CCC(CC1)C(C2)OC(=O)C(c3ccccc3)(c4ccccc4)O,1,0,[0 0 0 ... 0 0 0],2
597,597,C[NH+](C)CCOC(=O)C(c1ccccc1)C2(CCCC2)O,1,0,[0 1 0 ... 0 0 0],2
604,604,C[NH+]1[C@@H]2C[C@H](C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)c4ccccc4,1,0,[0 1 0 ... 0 0 0],2
605,605,C[NH+]1[C@@H]2CC[C@@H]1CC(C2)OC(c3ccccc3)c4ccccc4,1,0,[0 1 0 ... 0 0 0],2
606,606,C[NH+]1[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3,1,0,[0 1 0 ... 0 0 0],2
607,607,C[NH+]1C2CC(CC1C3C2O3)OC(=O)C(CO)c4ccccc4,1,0,[0 1 0 ... 0 0 0],2
624,624,C[NH+]1CCC(CC1)OC(c2ccccc2)c3ccccc3,1,0,[0 1 0 ... 0 0 0],2
627,627,C[NH+]1CCC[C@@H]1Cc2c[nH]c3c2cc(cc3)CCS(=O)(=O)c4ccccc4,1,0,[0 0 0 ... 0 0 0],2
630,630,C[NH+]1CCCC(CC1)n2c(=O)c3ccccc3c(n2)Cc4ccc(cc4)Cl,1,0,[0 0 0 ... 0 0 0],2
633,633,C[NH+]1CCN(CC1)C(c2ccccc2)c3ccccc3,1,0,[0 1 0 ... 0 0 0],2
655,655,CC#CCn1c2c(nc1N3CCC[C@H](C3)[NH3+])n(c(=O)n(c2=O)Cc4nc(c5ccccc5n4)C)C,1,0,[1 0 0 ... 0 0 0],2
686,686,CC(C)(C)c1ccc(cc1)C[NH+]2CCN(CC2)C(c3ccccc3)c4ccc(cc4)Cl,1,0,[0 1 0 ... 0 0 0],2
691,691,CC(C)(c1ccc(cc1)C(CCC[NH+]2CCC(CC2)C(c3ccccc3)(c4ccccc4)O)O)C(=O)[O-],1,0,[0 1 0 ... 0 0 0],2
708,708,CC(C)[N+]1([C@@H]2CC[C@@H]1CC(C2)OC(=O)C(CO)c3ccccc3)C,1,0,[1 1 0 ... 0 0 0],2
756,756,CC(C)COCC(CN(Cc1ccccc1)c2ccccc2)[NH+]3CCCC3,1,0,[0 1 0 ... 0 0 0],2
938,938,Cc1c(cccc1O)C(=O)N[C@@H](CSc2ccccc2)[C@@H](C[NH+]3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C)O,1,0,[0 1 0 ... 0 0 0],2
949,949,Cc1c(=O)c2cccc(c2oc1c3ccccc3)C(=O)OCC[NH+]4CCCCC4,1,0,[0 0 1 ... 0 0 0],2
950,950,CC1C(OCC[NH2+]1)c2ccccc2,1,0,[0 0 0 ... 0 0 0],2
994,994,Cc1ccc(cc1)/C(=C\C[NH+]2CCCC2)/c3ccccn3,1,0,[0 0 0 ... 0 0 0],2
1006,1006,Cc1cccc(c1)C[NH+]2CCN(CC2)C(c3ccccc3)c4ccc(cc4)Cl,1,0,[0 1 0 ... 0 0 0],2
1019,1019,Cc1ccccc1N2CC[NH+](CC2)CCc3nnc4n3CCCC4,1,0,[0 0 0 ... 0 0 0],2
1026,1026,Cc1ccsc1C(=CCC[NH+]2CCC[C@H](C2)C(=O)[O-])c3c(ccs3)C,1,0,[0 0 0 ... 0 0 0],2
1075,1075,CC[N+](C)(CC)CCOC(=O)C(c1ccccc1)(C2CCCCC2)O,1,0,[0 0 1 ... 0 0 0],2
1077,1077,CC[N+](CC)(CC)CCC(c1ccccc1)(C2CCCCC2)O,1,0,[0 0 1 ... 0 0 0],2
1082,1082,CC[NH+](CC)CC#CCOC(=O)C(c1ccccc1)(C2CCCCC2)O,1,0,[0 0 1 ... 0 0 0],2
1121,1121,CCC(=O)N(c1ccccc1)C2(CC[NH+](CC2)CCC(=O)OC)C(=O)OC,1,0,[0 0 0 ... 0 0 0],2
1122,1122,CCC(=O)N(c1ccccc1)C2(CC[NH+](CC2)CCc3cccs3)COC,1,0,[0 0 0 ... 0 0 0],2
1123,1123,CCC(=O)N(c1ccccc1)C2(CC[NH+](CC2)CCn3c(=O)n(nn3)CC)COC,1,0,[0 0 0 ... 0 0 0],2
1124,1124,CCC(=O)N(c1ccccc1)C2CC[NH+](CC2)CCc3ccccc3,1,0,[0 0 0 ... 0 0 0],2
1142,1142,CCC1(C(=O)NC(=O)CS1)c2ccccc2,1,0,[0 0 0 ... 0 0 0],2
1164,1164,CCc1nn(c(=O)n1CCOc2ccccc2)CCC[NH+]3CCN(CC3)c4cccc(c4)Cl,1,0,[0 0 0 ... 0 0 0],2
1268,1268,CCCCOc1ccc(cc1)C(=O)CC[NH+]2CCCCC2,1,0,[0 0 1 ... 0 0 0],2
1269,1269,CCCCOc1ccc(cc1)OCCC[NH+]2CCOCC2,1,0,[0 0 0 ... 0 0 0],2
1285,1285,CCN(CC)C(=O)[C@@]1(C[C@@H]1C[NH3+])c2ccccc2,1,0,[0 0 0 ... 0 0 0],2
1295,1295,CCN1C(=O)C(NC1=O)c2ccccc2,1,0,[0 0 0 ... 0 0 0],2
1297,1297,CCN1CC(C(C1=O)(c2ccccc2)c3ccccc3)CC[NH+]4CCOCC4,1,0,[0 1 0 ... 0 0 0],2
1322,1322,CCOC(=O)C1(CC[NH+](CC1)C)c2ccccc2,1,0,[0 0 0 ... 0 0 0],2
1323,1323,CCOC(=O)C1(CC[NH+](CC1)CCC(C#N)(c2ccccc2)c3ccccc3)c4ccccc4,1,0,[0 0 0 ... 0 0 0],2
1324,1324,CCOC(=O)C1(CC[NH+](CC1)CCc2ccc(cc2)N)c3ccccc3,1,0,[0 0 0 ... 0 0 0],2
1344,1344,CCOCCn1c2ccccc2nc1N3CCC[NH+](CC3)C,1,0,[0 0 0 ... 0 0 0],2
1359,1359,CN(C)C(=O)C(CC[NH+]1CCC(CC1)(c2ccc(cc2)Cl)O)(c3ccccc3)c4ccccc4,1,0,[0 0 0 ... 0 1 0],2
1403,1403,CN1CCC[NH+]=C1COC(=O)C(c2ccccc2)(C3CCCCC3)O,1,0,[0 0 1 ... 0 1 0],2
1426,1426,COC(=O)[C@H](c1ccccc1)[C@H]2CCCC[NH2+]2,1,0,[0 1 0 ... 0 0 0],2
1428,1428,COC(=O)C(c1ccccc1)C2CCCC[NH2+]2,1,0,[0 1 0 ... 0 0 0],2
1443,1443,COc1cc2c(cc1OC)C(=O)C(C2)CC3CC[NH+](CC3)Cc4ccccc4,1,0,[0 0 0 ... 0 0 0],2
81,81,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],1,0,[0 0 0 ... 0 0 0],3
82,82,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)[C@H](CC[NH3+])O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C[NH3+])O)O)O)[NH3+],1,0,[0 1 0 ... 0 0 1],3
89,89,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C[NH3+])O)O)[NH3+])O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)C[NH3+])O)O)[NH3+])O)O)[NH3+],1,0,[0 0 0 ... 0 0 0],3
90,90,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C[NH3+])O)O)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)[NH3+])O)[NH3+],1,0,[0 0 0 ... 0 0 0],3
91,91,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)[NH3+])O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)C[NH3+])O)O)[NH3+])O)O)[NH3+],1,0,[0 0 0 ... 0 0 0],3
491,491,C[C@H](/C=C/[C@H](C)C(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C3C[C@H](C[C@@H](C3)O)O)C,1,0,[0 1 0 ... 0 0 0],4
492,492,C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C,1,0,[0 1 0 ... 0 0 0],4
493,493,C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C,1,0,[0 1 0 ... 0 0 0],4
494,494,C[C@H](/C=C/[C@H](C1CC1)O)[C@H]2CC[C@@H]\\3[C@@]2(CCC/C3=C\\C=C/4\\C[C@H](C[C@@H](C4=C)O)O)C,1,0,[0 1 0 ... 0 0 0],4
512,512,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C,0,1,[0 1 0 ... 0 0 0],4
513,513,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C,1,0,[0 1 0 ... 0 0 0],4
514,514,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C,1,0,[0 1 0 ... 0 0 0],4
911,911,Cc1c(c(no1)c2c(cccc2Cl)Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)[O-],1,0,[0 0 0 ... 0 0 0],5
912,912,Cc1c(c(no1)c2ccccc2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)[O-],1,0,[0 0 0 ... 0 0 0],5
914,914,Cc1c(c(no1)c2ccccc2Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)[O-],1,0,[0 0 0 ... 0 0 0],5
1063,1063,CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C/C(=N/O)/CC[C@H]34,1,0,[0 0 0 ... 0 0 0],6
1065,1065,CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)OC(=O)C)CCC4=C/C(=N/O)/CC[C@H]34,1,0,[0 0 0 ... 0 0 0],6
150,150,c1cc(c(cc1[C@H](C[NH3+])O)O)O,1,0,[0 1 0 ... 0 0 0],7
156,156,c1cc(c(cc1CC[NH3+])O)O,1,0,[0 0 0 ... 0 0 0],7
389,389,C[C@@H]([C@@H](c1ccc(c(c1)O)O)O)[NH3+],1,0,[0 1 0 ... 0 0 0],7
390,390,C[C@@H]([C@@H](c1ccc(cc1)O)O)[NH2+]CCc2ccc(cc2)O,1,0,[0 1 0 ... 0 0 0],7
391,391,C[C@@H]([C@@H](c1cccc(c1)O)O)[NH3+],1,0,[0 1 0 ... 0 0 0],7
507,507,C[C@H](Cc1ccc(c(c1)O)O)[C@@H](C)Cc2ccc(c(c2)O)O,1,0,[0 1 0 ... 0 0 0],7
508,508,C[C@H](Cc1ccc(cc1)OC)[NH2+]C[C@@H](c2ccc(c(c2)NC=O)O)O,1,0,[0 1 0 ... 0 0 0],7
646,646,C[NH2+]C[C@@H](c1ccc(c(c1)O)O)O,1,0,[0 1 0 ... 0 0 0],7
647,647,C[NH2+]C[C@@H](c1cccc(c1)O)O,1,0,[0 1 0 ... 0 0 0],7
671,671,CC(C)(C)[NH2+]C[C@@H](c1ccc(c(c1)CO)O)O,1,0,[0 1 0 ... 0 0 0],7
675,675,CC(C)(C)[NH2+]CC(c1cc(cc(c1)O)O)O,1,0,[0 1 0 ... 0 0 0],7
676,676,CC(C)(C)[NH2+]CC(c1ccc(c(c1)CO)O)O,1,0,[0 1 0 ... 0 0 0],7
677,677,CC(C)(C)[NH2+]CC(c1ccc(c(n1)CO)O)O,1,0,[0 1 0 ... 0 0 0],7
682,682,CC(C)(C)C(=O)Oc1ccc(cc1OC(=O)C(C)(C)C)C(C[NH2+]C)O,1,0,[0 1 0 ... 0 0 0],7
713,713,CC(C)[NH2+]CC(c1cc(cc(c1)O)O)O,1,0,[0 1 0 ... 0 0 0],7
714,714,CC(C)[NH2+]CC(c1ccc(c(c1)O)O)O,1,0,[0 1 0 ... 0 0 0],7
715,715,CC(C)[NH2+]CC(c1ccc(cc1)NS(=O)(=O)C)O,1,0,[0 1 0 ... 0 0 0],7
780,780,CC(Cc1ccc(cc1)OC)[NH2+]CC(c2ccc(c(c2)NC=O)O)O,1,0,[0 1 0 ... 0 0 0],7
781,781,CC(Cc1ccc2c(c1)OCO2)[NH2+]CC(c3ccc(c(c3)O)O)O,1,0,[0 1 0 ... 0 0 0],7
785,785,CC(CCc1ccc(cc1)O)[NH2+]CCc2ccc(c(c2)O)O,1,0,[0 1 0 ... 0 0 0],7
786,786,CC(CCc1ccccc1)[NH2+]CC(c2ccc(c(c2)C(=O)N)O)O,1,0,[0 1 0 ... 0 0 0],7
989,989,Cc1ccc(c(c1)[C@H](CC[NH+](C(C)C)C(C)C)c2ccccc2)O,1,0,[0 1 0 ... 0 0 0],7
1052,1052,CC[C@@H](c1cccc(c1)O)[C@@H](C)C[NH+](C)C,1,0,[0 1 0 ... 0 0 0],7
1158,1158,CCc1cc2c(cc1CC)CC(C2)[NH2+]C[C@@H](c3ccc(c4c3ccc(=O)[nH]4)O)O,1,0,[0 1 0 ... 0 0 0],7
865,865,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)/[NH+]=C/N3CCCCCC3)C(=O)[O-])C,1,0,[0 0 1 ... 0 0 0],9
866,866,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)N3C(=O)[C@H]([NH2+]C3(C)C)c4ccccc4)C(=O)[O-])C,1,0,[0 0 0 ... 0 0 0],9
867,867,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccc(cc3)O)[NH3+])C(=O)[O-])C,1,0,[0 1 0 ... 0 0 0],9
868,868,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccccc3)[NH3+])C(=O)[O-])C,1,0,[0 1 0 ... 0 0 0],9
