,Unnamed: 0,smiles,FDA_APPROVED,CT_TOX,target_actual,fp
1185,1185,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC=C,1,0,0,[0 1 0 ... 0 0 0]
879,879,CC1(C(C1C(=O)OCc2cccc(c2)Oc3ccccc3)C=C(Cl)Cl)C,1,0,0,[0 0 0 ... 0 0 0]
15,15,B([C@H](CC(C)C)NC(=O)CNC(=O)C1=C(C=CC(=C1)Cl)Cl)(O)O,0,1,1,[0 1 0 ... 0 0 0]
1314,1314,CCOC(=O)[C@H](CCc1ccccc1)[NH2+][C@@H](C)C(=O)N2[C@H]3CCC[C@H]3C[C@H]2C(=O)[O-],1,0,0,[0 1 0 ... 0 0 0]
541,541,C[C@H]1C[NH+](CC[C@@]1(C)c2cccc(c2)O)C[C@H](Cc3ccccc3)C(=O)NCC(=O)[O-],1,0,0,[0 1 0 ... 0 0 0]
192,192,c1cc(ccc1C[NH3+])S(=O)(=O)N,1,0,0,[0 0 0 ... 0 0 0]
496,496,C[C@H]([C@@H](C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2c1cccc2)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@@H](Cc3ccccc3)C(=O)N)NC(=O)[C@H](Cc4ccc(cc4)OS(=O)(=O)[O-])NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](CCC(=O)N)NC(=O)[C@@H]5CCC(=O)N5)O,1,0,0,[1 1 0 ... 0 0 0]
778,778,CC(C[NH2+]C1CCCCC1)OC(=O)c2ccccc2,1,0,0,[0 1 1 ... 0 0 0]
433,433,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,1,0,0,[0 1 0 ... 0 0 0]
955,955,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](c5ccccc5)NC(=O)OC(C)(C)C)O)O)OC(=O)c6ccccc6)(CO4)OC(=O)C)OC)C)OC,1,0,0,[0 1 0 ... 0 0 0]
1386,1386,Cn1c(nnn1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)[C@@H](c4ccccc4)O)SC2)C(=O)[O-],1,0,0,[0 1 0 ... 0 0 0]
623,623,C[NH+]1CCC(CC1)COc2cc3c(cc2OC)c(ncn3)Nc4ccc(cc4F)Br,1,0,0,[0 0 0 ... 0 0 0]
1114,1114,CCC(c1ccccc1)c2c(c3ccccc3oc2=O)[O-],1,0,0,[0 1 0 ... 0 0 0]
5,5,[N+](=O)([O-])[O-],1,0,0,[0 0 0 ... 0 0 0]
10,10,[O-]S(=O)(=O)[O-],1,0,0,[0 0 0 ... 0 0 0]
395,395,C[C@@H](C(=O)N[C@@H](C)C(=O)NC1[C@H]2[C@@H]1CN(C2)c3c(cc4c(=O)c(cn(c4n3)c5ccc(cc5F)F)C(=O)[O-])F)[NH3+],1,0,0,[0 1 0 ... 0 0 0]
23,23,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O,1,0,0,[0 0 0 ... 0 0 0]
906,906,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C,1,0,0,[0 0 0 ... 0 0 0]
968,968,Cc1cc(c(cn1)C(=O)N[C@H](c2ccc(cc2)O)C(=O)N[C@H]3[C@@H]4N(C3=O)C(=C(CS4)CSc5nnnn5C)C(=O)[O-])O,1,0,0,[0 1 0 ... 0 0 0]
901,901,Cc1c(c(c(c2c1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)OC(=O)C)C,1,0,0,[0 1 0 ... 0 0 0]
378,378,c1nc2c(n1COCCO)[nH]c(nc2=O)N,1,0,0,[0 0 0 ... 0 0 0]
335,335,c1ccc2c(c1)N(c3cc(ccc3S2)C(F)(F)F)CCCN4CC[NH+](CC4)CCO,1,0,0,[0 0 0 ... 0 0 0]
1042,1042,Cc1nnc2n1-c3ccc(cc3C(=NC2)c4ccccc4Cl)Cl,1,0,0,[0 0 0 ... 0 0 0]
225,225,c1cc2c(cc1C#N)c(c[nH]2)CCCC[NH+]3CCN(CC3)c4ccc5c(c4)cc(o5)C(=O)N,1,0,0,[0 0 0 ... 0 0 0]
1096,1096,CC[NH2+][C@@H]1C[C@@H]([C@H]([C@@H]([C@H]1O[C@@H]2[C@@H]([C@H]([C@@](CO2)(C)O)[NH2+]C)O)O)O[C@@H]3[C@@H](CC=C(O3)C[NH3+])[NH3+])[NH3+],1,0,0,[0 0 0 ... 0 0 0]
1017,1017,Cc1ccccc1C(=O)Nc2ccc(c(c2)C)C(=O)N3CCCC(c4c3ccc(c4)Cl)O,1,0,0,[0 0 0 ... 0 0 0]
188,188,c1cc(ccc1c2ccc(o2)/C=N/N3CC(=O)NC3=O)[N+](=O)[O-],1,0,0,[0 0 0 ... 0 0 0]
1439,1439,COc1cc(cc(c1OC)OC)[C@@H]2c3cc4c(cc3[C@@H]([C@@H]5[C@@H]2C(=O)OC5)O)OCO4,1,0,0,[0 0 0 ... 0 0 0]
742,742,CC(C)C[C@@H](CC(=O)[O-])C[NH3+],1,0,0,[0 1 0 ... 0 0 0]
1363,1363,CN(C)C[C@H]1CCCC[C@@]1(C2=CC(=CC=C2)OC)O,0,1,1,[0 0 0 ... 0 0 0]
403,403,C[C@@H](Cc1ccccc1)NC(=O)[C@H](CCCC[NH3+])[NH3+],1,0,0,[0 1 0 ... 0 0 0]
261,261,c1ccc(cc1)C(CC[NH+]2CCCCC2)(C3CCCC3)O,1,0,0,[0 0 1 ... 0 0 0]
1031,1031,Cc1cnc(c(c1OC)C)CS(=O)c2[nH]c3cc(ccc3n2)OC,1,0,0,[0 0 0 ... 0 0 0]
1312,1312,CCOC(=O)/C=C(\C)/C=C/C=C(\C)/C=C/c1c(cc(c(c1C)C)OC)C,1,0,0,[0 0 0 ... 0 0 0]
1144,1144,CCC1(C(=O)NCNC1=O)c2ccccc2,1,0,0,[0 0 0 ... 0 0 0]
219,219,c1cc2c(c(c1)N)CN(C2=O)C3CCC(=O)NC3=O,1,0,0,[0 0 1 ... 0 0 0]
783,783,CC(Cc1ccccc1)[NH2+]C,1,0,0,[0 1 0 ... 0 0 0]
143,143,c1cc(c(c(c1)Cl)NC2=[NH+]CCN2)Cl,1,0,0,[0 0 0 ... 0 0 0]
1021,1021,Cc1ccccc1S(=O)(=O)[N-]C(=O)c2ccc(c(c2)OC)Cc3cn(c4c3cc(cc4)NC(=O)OC5CCCC5)C,1,0,0,[0 0 0 ... 0 0 0]
193,193,c1cc(ccc1CCc2c[nH]c3c2c(=O)nc([nH]3)N)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-],1,0,0,[0 1 0 ... 0 0 0]
1473,1473,CS(=O)C,1,0,0,[0 0 0 ... 0 0 0]
1028,1028,Cc1cn(c(=O)[nH]c1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-],1,0,0,[0 0 0 ... 0 0 0]
1184,1184,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC,1,0,0,[0 1 0 ... 0 0 0]
1080,1080,CC[NH+](CC)C(C)C(=O)c1ccccc1,1,0,0,[0 1 0 ... 0 0 0]
2,2,[C@H]([C@@H]([C@@H](C(=O)[O-])O)O)([C@H](C(=O)[O-])O)O,1,0,0,[0 1 0 ... 0 0 0]
1079,1079,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc2ccccc2Cl,1,0,0,[0 0 0 ... 0 0 0]
86,86,C1[C@@H](NC(=[NH+][C@H]1O)N)[C@H]2C(=O)NC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N/C(=C\\NC(=O)N)/C(=O)N2)CO)CO)NC(=O)C[C@H](CCC[NH3+])[NH3+],1,0,0,[0 1 0 ... 0 0 0]
571,571,C[NH+](C)C[C@H]1CCCC[C@@]1(c2cccc(c2)OC)O,1,0,0,[0 0 0 ... 0 0 0]
108,108,c1c(c(cc(c1F)F)F)C[C@H](CC(=O)N2CCn3c(nnc3C(F)(F)F)C2)[NH3+],1,0,0,[0 1 0 ... 0 0 0]
176,176,c1cc(ccc1[C@H]([C@@H](CO)NC(=O)[C-](Cl)Cl)O)[N+](=O)[O-],1,0,0,[0 1 0 ... 0 0 0]
149,149,c1cc(c(cc1/N=N/c2ccc(c(c2)C(=O)[O-])O)C(=O)[O-])O,1,0,0,[0 0 0 ... 0 0 0]
813,813,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCC[NH3+])O)O)O,1,0,0,[0 0 0 ... 0 0 0]
1342,1342,CCOc1ccccc1OCC[NH2+][C@H](C)Cc2ccc(c(c2)S(=O)(=O)N)OC,1,0,0,[0 1 0 ... 0 0 0]
1131,1131,CCC(=O)O[C@H]1[C@H](C[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(C[C@@H]([C@H](C4)OC(=O)C)[NH+]5CCCCC5)C)C)[N+]6(CCCCC6)CC=C,1,0,0,[0 0 1 ... 0 0 0]
1333,1333,CCOC(=O)Nc1ccc(cc1N)NCc2ccc(cc2)F,1,0,0,[0 0 0 ... 0 0 0]
1100,1100,CCC#CC(C)C1(C(=O)NC(=O)N(C1=O)C)CC=C,1,0,0,[0 1 0 ... 0 0 0]
81,81,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],1,0,0,[0 0 0 ... 0 0 0]
1218,1218,CCCCc1c(c2ccccc2o1)C(=O)c3cc(c(c(c3)I)OCC[NH+](CC)CC)I,1,0,0,[0 0 0 ... 0 0 0]
1074,1074,CC[N+](C)(C)Cc1ccccc1Br,1,0,0,[0 0 0 ... 0 0 0]
205,205,c1cc(ccc1OCC(COC(=O)N)O)Cl,1,0,0,[0 1 0 ... 0 0 0]
20,20,C(#N)[Fe-2](C#N)(C#N)(C#N)(C#N)N=O,1,0,0,[0 0 0 ... 0 0 0]
1413,1413,CNC1=[NH+]c2ccc(cc2C(=[N+](C1)[O-])c3ccccc3)Cl,1,0,0,[0 0 0 ... 0 0 0]
97,97,c1[nH]c(=O)c2c(n1)n(cn2)[C@H]3CC[C@H](O3)CO,1,0,0,[0 0 0 ... 0 0 0]
667,667,CC(C)(C(=O)[O-])O/N=C(/c1csc(n1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[n+]4ccccc4)C(=O)[O-],1,0,0,[0 0 0 ... 0 0 0]
224,224,c1cc2c(cc1)C(=O)C(=C(C2=O)[C@H]3CC[C@@H](CC3)c4ccc(cc4)Cl)[O-],1,0,0,[0 1 0 ... 0 0 0]
228,228,c1cc2c(cc1F)CCC(O2)C(C[NH2+]CC(C3CCc4cc(ccc4O3)F)O)O,1,0,0,[0 1 0 ... 0 0 0]
1382,1382,Cn1c(nnn1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)C(c4ccc(cc4)O)C(=O)[O-])OC)OC2)C(=O)[O-],1,0,0,[0 1 0 ... 0 0 0]
1371,1371,CN(CCCNC(=O)C1CCCO1)c2nc3cc(c(cc3c(n2)N)OC)OC,1,0,0,[0 0 0 ... 0 0 0]
540,540,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@H]3C(=O)C[C@@]2([C@]1(C(=O)CO)O)C)C,1,0,0,[0 0 0 ... 0 0 0]
1,1,[C@@H]1([C@@H]([C@@H]([C@H]([C@@H]([C@@H]1Cl)Cl)Cl)Cl)Cl)Cl,1,0,0,[0 0 0 ... 0 0 0]
750,750,CC(C)CN(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CCOC2)O)S(=O)(=O)c3ccc(cc3)N,1,0,0,[0 1 0 ... 0 0 0]
1232,1232,CCCCCCCC(=O)CC[C@H]1[C@@H](C[C@@H]([C@@H]1C/C=C\CCCC(=O)OC(C)C)O)O,1,0,0,[0 1 0 ... 0 0 0]
1224,1224,CCCCC[C@H](CC[C@H]1[C@@H]2Cc3cccc(c3C[C@@H]2C[C@@H]1O)OCC(=O)[O-])O,1,0,0,[0 1 0 ... 0 0 0]
987,987,CC1Cc2ccccc2N1NC(=O)c3ccc(c(c3)S(=O)(=O)N)Cl,1,0,0,[0 0 0 ... 0 0 0]
1151,1151,CCC1=C(CN(C1=O)C(=O)NCCc2ccc(cc2)S(=O)(=O)[N-]C(=O)NC3CCC(CC3)C)C,1,0,0,[0 0 0 ... 0 0 0]
775,775,CC(c1ccccc1)(c2ccccn2)OCC[NH+](C)C,1,0,0,[0 0 0 ... 0 0 0]
162,162,c1cc(c(cc1F)F)C(Cn2cncn2)(Cn3cncn3)O,1,0,0,[1 0 0 ... 0 0 0]
414,414,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2CC[C@]3([C@@H](C2)CC[C@@H]4[C@@H]3C[C@H]([C@]5([C@@]4(CC[C@@H]5C6=CC(=O)OC6)O)C)O)C)O)O[C@H]7C[C@@H]([C@@H]([C@H](O7)C)O[C@H]8C[C@@H]([C@@H]([C@H](O8)C)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O)O)O,1,0,0,[0 0 0 ... 0 0 0]
766,766,CC(C)OP(=O)(OC(C)C)F,1,0,0,[0 1 0 ... 0 0 0]
444,444,C[C@](Cc1ccc(cc1)O)(C(=O)[O-])[NH3+],1,0,0,[0 0 0 ... 0 0 0]
436,436,C[C@@H]1CCC2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OC(=O)C(C)(CO)CO)C)/C)O)OC)C)C)/C)OC,1,0,0,[0 1 0 ... 0 0 0]
114,114,c1c(c(=O)[nH]c(=O)n1[C@H]2C[C@@H]([C@H](O2)CO)O)I,1,0,0,[0 0 0 ... 0 0 0]
1306,1306,CCNC(=[NH+]CCCC[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCC[NH+]=C(NCC)NCC)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(=O)N)NC(=O)[C@H](Cc2ccc(cc2)O)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc3cccnc3)NC(=O)[C@@H](Cc4ccc(cc4)Cl)NC(=O)[C@@H](Cc5ccc6ccccc6c5)NC(=O)C)NCC,1,0,0,[0 1 0 ... 0 0 0]
918,918,CC1=C(C(=O)C[C@@H]1OC(=O)[C@@H]2[C@H](C2(C)C)C=C(C)C)C/C=C/C=C,1,0,0,[0 0 0 ... 0 0 0]
467,467,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)Nc4cc(ccc4C(F)(F)F)C(F)(F)F)CC[C@@H]5[C@@]3(C=CC(=O)N5)C,1,0,0,[0 0 0 ... 0 0 0]
319,319,c1ccc2c(c1)c(ns2)N3CC[NH+](CC3)CCc4cc5c(cc4Cl)NC(=O)C5,1,0,0,[0 0 0 ... 0 0 0]
1169,1169,CCC[C@]1(CC(=C(C(=O)O1)[C@H](CC)c2cccc(c2)[N-]S(=O)(=O)c3ccc(cn3)C(F)(F)F)[O-])CCc4ccccc4,1,0,0,[0 1 0 ... 0 0 0]
392,392,C[C@@H]([C@H](c1ccccc1)O)[NH2+]C,1,0,0,[0 1 0 ... 0 0 0]
544,544,C[C@H]1COc2c3n1cc(c(=O)c3cc(c2N4CC[NH+](CC4)C)F)C(=O)[O-],1,0,0,[0 0 0 ... 1 0 0]
46,46,C(=C(F)F)(F)F,1,0,0,[0 0 0 ... 0 0 0]
305,305,C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)/C=C/C(=O)NO,0,1,1,[0 0 0 ... 0 0 0]
1372,1372,CN(CCOc1ccc(cc1)CC2C(=O)[N-]C(=O)S2)c3ccccn3,1,0,0,[0 0 0 ... 0 0 0]
56,56,C(CC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-])C[NH3+],1,0,0,[0 0 0 ... 0 0 0]
363,363,c1cnccc1c2cc(c(=O)[nH]c2)N,1,0,0,[0 0 0 ... 0 0 0]
580,580,C[NH+](C)CCC(c1ccccc1)c2ccccn2,1,0,0,[0 1 0 ... 0 0 0]
454,454,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O,1,1,1,[0 0 0 ... 0 0 0]
234,234,c1cc2cccnc2c(c1)O,1,0,0,[0 0 0 ... 0 0 0]
1320,1320,CCOC(=O)[C@H](CCc1ccccc1)[NH2+][C@H]2CCc3ccccc3N(C2=O)CC(=O)[O-],1,0,0,[0 1 0 ... 0 0 0]
1410,1410,CNC(=O)c1cnn(c1)c2nc(c3c(n2)n(cn3)[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O)N,1,0,0,[0 0 0 ... 0 0 0]
383,383,c1nc2c(=O)[nH]c(nc2n1COC(CO)CO)N,1,0,0,[0 1 0 ... 0 0 0]
882,882,CC1(C2(C(=O)/C(=C\c3ccc(cc3)/C=C/4\C(=O)C5(C(C4CC5)(C)C)CS(=O)(=O)[O-])/C1CC2)CS(=O)(=O)[O-])C,1,0,0,[0 0 0 ... 0 0 0]
936,936,Cc1c(ccc2c1c(nc(n2)N)N)CNc3cc(c(c(c3)OC)OC)OC,1,0,0,[0 0 0 ... 0 0 0]
559,559,C[N+]1(CCc2cc(c(cc2C1Cc3ccc(c(c3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N+]4(CCc5cc(c(cc5C4Cc6ccc(c(c6)OC)OC)OC)OC)C,1,0,0,[0 0 0 ... 0 0 0]
636,636,C[NH+]1CCN(CC1)C2=[NH+]c3ccccc3Oc4c2cc(cc4)Cl,1,0,0,[0 0 0 ... 0 0 0]
764,764,CC(C)OC(=O)CCC/C=C\C[C@H]1[C@H](C[C@H]([C@@H]1CC[C@H](CCc2ccccc2)O)O)O,1,0,0,[0 1 0 ... 0 0 0]
583,583,C[NH+](C)CCc1c[nH]c2c1cc(cc2)CS(=O)(=O)N3CCCC3,1,0,0,[0 0 0 ... 0 0 0]
1104,1104,CCC(C)(C)C1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CC5c6cccc7c6c(c[nH]7)CC5[NH+](C4)C)O,1,0,0,[0 1 0 ... 0 0 0]
1029,1029,Cc1cn(c(=O)[nH]c1=O)[C@H]2C=C[C@H](O2)CO,1,0,0,[0 0 0 ... 0 0 0]
1058,1058,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)[NH+](C)C)O)(C)O)C)C)O)(C)O,1,0,0,[0 0 0 ... 0 0 0]
