,Unnamed: 0,CMPD_CHEMBLID,exp,smiles,drug_like,target_actual,fp,cluster
387,387,CHEMBL2171049,1.6,Cc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)cc4,1,1,[0 0 0 ... 0 0 0],7
460,460,CHEMBL2171042,1.84,Cc1cccc(c1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 0 0 ... 0 0 0],7
600,600,CHEMBL2171014,2.0,CN(C)c1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(C)c4Cl,1,1,[0 0 0 ... 0 0 0],7
653,653,CHEMBL2171037,1.7,CN(C)c1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 0 0 ... 0 0 0],7
764,764,CHEMBL2171024,1.23,OC(=O)c1cccc(c1)C(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 0 0 ... 0 0 0],7
854,854,CHEMBL2171027,0.66,OC(=O)CCCS(=O)(=O)c1cccc(c1)C(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 0 0 ... 0 0 0],7
1033,1033,CHEMBL2171040,0.89,COc1ccccc1S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 0 0 ... 0 0 0],7
1076,1076,CHEMBL2171023,1.73,OC(=O)c1ccccc1C(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 0 0 ... 0 0 0],7
1595,1595,CHEMBL2171050,0.75,Cc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(F)c(F)c4,1,1,[0 0 0 ... 0 0 0],7
1686,1686,CHEMBL2171025,2.24,Clc1ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)c4ccc(cc4)C5=NOC(=O)N5)cc1Cl,1,1,[0 0 0 ... 0 0 0],7
1706,1706,CHEMBL2158815,2.23,OC(=O)C(N1CCC(CC1)N2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)c4ccccc4,1,1,[0 1 0 ... 0 0 0],7
1932,1932,CHEMBL2171041,1.74,CN(C)c1ccccc1S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 0 0 ... 0 0 0],7
2053,2053,CHEMBL2171013,4.49,CN(C(=O)N1CCC(CC1)N2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)S(=O)(=O)c4ccc(C)cc4,1,1,[0 0 0 ... 0 0 0],7
2061,2061,CHEMBL2171043,2.62,Clc1cccc(c1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 0 0 ... 0 0 0],7
2127,2127,CHEMBL2171029,1.6,OC(=O)CCCCn1nnc(n1)c2ccc(cc2)C(=O)N3CCC(CC3)N4CCC(CC4)Oc5ccc(Cl)c(Cl)c5,1,1,[0 0 0 ... 0 0 0],7
2228,2228,CHEMBL2171048,1.79,Cc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)cc4C,1,1,[0 0 0 ... 0 0 0],7
2262,2262,CHEMBL2171020,3.51,Clc1ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)C4=CNC(=O)c5ccccc45)cc1Cl,1,1,[0 0 0 ... 0 0 0],7
2514,2514,CHEMBL2171033,1.5,Clc1ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)NS(=O)(=O)c4ccccc4)cc1Cl,1,1,[0 0 0 ... 0 0 0],7
2556,2556,CHEMBL2171215,2.13,Clc1ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)NS(=O)(=O)Cc4ccccc4)cc1Cl,1,1,[0 0 0 ... 0 0 0],7
2618,2618,CHEMBL2171038,1.71,Cc1ccccc1S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 0 0 ... 0 0 0],7
2816,2816,CHEMBL2171026,1.53,Clc1ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)c4ccc(cc4)c5nn[nH]n5)cc1Cl,1,1,[0 0 0 ... 0 0 0],7
2859,2859,CHEMBL2171044,1.81,Clc1ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)NS(=O)(=O)c4cccc(c4)C#N)cc1Cl,1,1,[0 0 0 ... 0 0 0],7
2911,2911,CHEMBL2171039,1.93,Clc1ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)NS(=O)(=O)c4ccccc4Cl)cc1Cl,1,1,[0 0 0 ... 0 0 0],7
2956,2956,CHEMBL2171047,2.2,Cc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(C)c4Cl,1,1,[0 0 0 ... 0 0 0],7
2990,2990,CHEMBL2171035,2.59,Clc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 0 0 ... 0 0 0],7
3218,3218,CHEMBL2171021,3.33,Cc1c(Cl)ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)c4cccc(c4)S(=O)(=O)C)c1Cl,1,1,[0 0 0 ... 0 0 0],7
3311,3311,CHEMBL2171015,2.14,Clc1ccc(OC2CCN(CC2)C3CCN(CC3)S(=O)(=O)NC(=O)c4ccccc4)cc1Cl,1,1,[0 0 0 ... 0 0 0],7
3436,3436,CHEMBL2171022,1.09,OC(=O)COc1cccc(c1)C(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 0 0 ... 0 0 0],7
3817,3817,CHEMBL2171045,2.94,FC(F)(F)c1cccc(c1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 0 0 ... 0 0 0],7
33,33,CHEMBL2208428,2.34,CS(=O)(=O)c1ccccc1C(=O)NC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3,1,1,[0 1 0 ... 0 0 0],8
323,323,CHEMBL2208429,2.95,O[C@H](CNC(=O)c1n[nH]c2ccccc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 1 0 ... 0 0 0],8
356,356,CHEMBL2207286,3.13,CN(C)S(=O)(=O)c1ccc2C(=CNC(=O)c2c1)C(=O)NC[C@@H](O)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 1 0 ... 0 1 0],8
360,360,CHEMBL2207659,3.02,Cc1cc(Cl)ccc1OC2CCN(C[C@H](O)CNC(=O)c3c[nH]nc3C(F)(F)F)CC2,1,1,[0 1 0 ... 0 0 0],8
407,407,CHEMBL2208432,4.46,O[C@H](CNC(=O)N1C(=O)Nc2ccccc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 1 0 ... 0 0 0],8
638,638,CHEMBL2207657,3.0,Cc1cc(Cl)ccc1OC2CCN(C[C@H](O)CNC(=O)C3=CNC(=O)c4c(F)cccc34)CC2,1,1,[0 1 0 ... 0 0 0],8
747,747,CHEMBL2207672,2.83,Cc1c(Cl)ccc(OC2CCN(C[C@H](O)CNC(=O)C3=CNC(=O)c4cc(ccc34)S(=O)(=O)C)CC2)c1Cl,1,1,[0 1 0 ... 0 1 0],8
752,752,CHEMBL2207285,3.67,O[C@H](CNC(=O)C1=CNC(=O)c2cc(ccc12)S(=O)(=O)NC3CC3)CN4CCC(CC4)Oc5ccc(Cl)c(Cl)c5,1,1,[0 1 0 ... 0 1 0],8
798,798,CHEMBL2207654,3.02,O[C@H](CNC(=O)C1=CNC(=O)c2cc(ccc12)S(=O)(=O)N3CCC3)CN4CCC(CC4)Oc5ccc(Cl)c(Cl)c5,1,1,[0 1 0 ... 0 1 0],8
836,836,CHEMBL2207660,3.66,Cc1c(Cl)ccc(OC2CCN(C[C@H](O)CNC(=O)c3c[nH]nc3C(F)(F)F)CC2)c1Cl,1,1,[0 1 0 ... 0 0 0],8
901,901,CHEMBL2207655,2.54,CC1(O)CN(C1)S(=O)(=O)c2ccc3C(=CNC(=O)c3c2)C(=O)NC[C@@H](O)CN4CCC(CC4)Oc5ccc(Cl)c(Cl)c5,1,1,[0 1 0 ... 0 1 0],8
1159,1159,CHEMBL2207656,3.15,O[C@H](CNC(=O)C1=CNC(=O)c2c(F)cccc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 1 0 ... 0 0 0],8
1263,1263,CHEMBL2207665,2.76,CN1C=C(C(=O)NC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)C(=CC1=O)C(F)(F)F,1,1,[0 1 0 ... 0 0 0],8
1277,1277,CHEMBL2208422,3.42,O[C@H](CNS(=O)(=O)c1cccc(c1)C#N)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3,1,1,[0 1 0 ... 0 0 0],8
1288,1288,CHEMBL2207671,2.63,CS(=O)(=O)c1ccc2C(=CNC(=O)c2c1)C(=O)NC[C@@H](O)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 1 0 ... 0 1 0],8
1541,1541,CHEMBL2207670,1.41,CS(=O)(=O)c1ccc2C(=CNC(=O)c2c1)C(=O)NC[C@@H](O)CN3CCC(CC3)Oc4ccc(C#N)c(Cl)c4,1,1,[0 1 0 ... 0 1 0],8
1943,1943,CHEMBL2207662,2.71,O[C@H](CNC(=O)C1=CNC(=O)C=C1C(F)(F)F)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3,1,1,[0 1 0 ... 0 0 0],8
1971,1971,CHEMBL2207669,2.56,O[C@H](CNC(=O)C1=CNC(=O)c2ccccc12)CN3CCC(CC3)Oc4ccc(C#N)c(Cl)c4,1,1,[0 1 0 ... 0 0 0],8
2072,2072,CHEMBL2208430,3.91,O[C@H](CNC(=O)c1c[nH]c2ccccc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 1 0 ... 0 0 0],8
2078,2078,CHEMBL2207284,2.77,CNS(=O)(=O)c1ccc2C(=CNC(=O)c2c1)C(=O)NC[C@@H](O)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 1 0 ... 0 1 0],8
2119,2119,CHEMBL2207658,3.34,O[C@H](CNC(=O)c1c[nH]nc1C(F)(F)F)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3,1,1,[0 1 0 ... 0 0 0],8
2124,2124,CHEMBL2208426,2.86,CS(=O)(=O)c1ccc(s1)C(=O)NC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3,1,1,[0 1 0 ... 0 1 0],8
2151,2151,CHEMBL2207666,3.42,O[C@H](CNC(=O)C1=CNC(=O)c2ccccc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 1 0 ... 0 0 0],8
2271,2271,CHEMBL2208434,3.48,O[C@H](CNC(=O)C1=CC(=O)Nc2ccccc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 1 0 ... 0 0 0],8
2307,2307,CHEMBL2207664,3.14,Cc1c(Cl)ccc(OC2CCN(C[C@H](O)CNC(=O)C3=CNC(=O)C=C3C(F)(F)F)CC2)c1Cl,1,1,[0 1 0 ... 0 0 0],8
2478,2478,CHEMBL2207281,2.06,OCCNS(=O)(=O)c1ccc2C(=CNC(=O)c2c1)C(=O)NC[C@@H](O)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 1 0 ... 0 1 0],8
2616,2616,CHEMBL2207280,3.93,O[C@H](CNC(=O)C1=CNC(=O)c2ccc(F)cc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 1 0 ... 0 0 0],8
2686,2686,CHEMBL2208425,3.33,O[C@H](CNC(=O)c1cn2cc(F)ccc2n1)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 1 0 ... 0 0 0],8
2787,2787,CHEMBL2207276,2.42,Cc1cc(Cl)ccc1OC2CCN(C[C@H](O)CNC(=O)C3=CNC(=O)c4cc(ccc34)S(=O)(=O)C)CC2,1,1,[0 1 0 ... 0 1 0],8
3014,3014,CHEMBL2208435,3.28,O[C@H](CNC(=O)c1cnnc2ccccc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 1 0 ... 0 0 0],8
3104,3104,CHEMBL2208431,3.69,O[C@H](CNC(=O)C1=NNC(=O)c2ccccc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[1 1 0 ... 0 0 0],8
3227,3227,CHEMBL2208427,3.12,COc1cc(ccc1N)C(=O)NC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3,1,1,[0 1 0 ... 0 0 0],8
3361,3361,CHEMBL2207282,2.17,NS(=O)(=O)c1ccc2C(=CNC(=O)c2c1)C(=O)NC[C@@H](O)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 1 0 ... 0 1 0],8
3466,3466,CHEMBL2208423,3.48,O[C@H](CNC(=O)c1cccc(c1)C#N)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3,1,1,[0 1 0 ... 0 0 0],8
3485,3485,CHEMBL2207663,2.37,Cc1cc(Cl)ccc1OC2CCN(C[C@H](O)CNC(=O)C3=CNC(=O)C=C3C(F)(F)F)CC2,1,1,[0 1 0 ... 0 0 0],8
3666,3666,CHEMBL2207661,3.15,O[C@H](CNC(=O)c1c[nH]nc1C2CC2)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 1 0 ... 0 0 0],8
2548,2548,CHEMBL2011928,3.28,COc1ccc(cc1)c2nc3c(NCCCNC(=O)C)c(Br)cnc3[nH]2,1,1,[0 0 0 ... 0 0 0],9
2583,2583,CHEMBL2011937,0.25,COc1ccc(cc1)c2nc3c(NCCCNC(=O)c4ccccc4)c(Br)cnc3[nH]2,1,1,[0 0 0 ... 0 0 0],9
3167,3167,CHEMBL2011931,1.71,COc1ccc(cc1)c2nc3c(NCCCNC(=O)C4CC4)c(Br)cnc3[nH]2,1,1,[0 0 0 ... 0 0 0],9
3950,3950,CHEMBL2011932,1.9,COc1ccc(cc1)c2nc3c(NCCCNC(=O)C4(CN)CC4)c(Br)cnc3[nH]2,1,1,[0 0 0 ... 0 0 0],9
179,179,CHEMBL1950851,3.12,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(F)cc2)C1)C(C)(C)C,1,1,[0 1 0 ... 0 0 0],11
673,673,CHEMBL1950842,1.46,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccccc2)C1)C(C)(C)C,1,1,[0 1 0 ... 0 0 0],11
702,702,CHEMBL1950860,2.85,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(cc2)C(F)(F)F)C1)C(C)(C)C,1,1,[0 1 0 ... 0 0 0],11
876,876,CHEMBL1949685,1.65,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@H]2CCCN(CCc3ccccc3)C2,1,1,[0 1 1 ... 0 0 0],11
1027,1027,CHEMBL1950854,1.45,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(OC)cc2)C1)C(C)(C)C,1,1,[0 1 0 ... 0 0 0],11
1643,1643,CHEMBL1950858,0.77,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(O)cc2)C1)C(C)(C)C,1,1,[0 1 0 ... 0 0 0],11
2030,2030,CHEMBL1950846,0.9,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(C1)S(=O)(=O)c2ccccc2)C(C)(C)C,1,1,[0 1 0 ... 0 0 0],11
2495,2495,CHEMBL1950849,2.64,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@H]2CCCN(CCc3cccc(F)c3)C2,1,1,[0 1 1 ... 0 0 0],11
2613,2613,CHEMBL1950861,-0.55,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccccn2)C1)C(C)(C)C,0,0,[0 1 0 ... 0 0 0],11
2768,2768,CHEMBL1950856,2.92,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(Br)cc2)C1)C(C)(C)C,1,1,[0 1 0 ... 0 0 0],11
2806,2806,CHEMBL1950848,2.51,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@H]2CCCN(CCc3ccccc3F)C2,1,1,[0 1 1 ... 0 0 0],11
2959,2959,CHEMBL1950857,2.05,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(C)cc2)C1)C(C)(C)C,1,1,[0 1 0 ... 0 0 0],11
3165,3165,CHEMBL1950859,1.54,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(cc2)[N+](=O)[O-])C1)C(C)(C)C,1,1,[0 1 0 ... 0 0 0],11
3207,3207,CHEMBL1950847,0.78,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(C1)S(=O)(=O)Cc2ccccc2)C(C)(C)C,1,1,[0 1 0 ... 0 0 0],11
3345,3345,CHEMBL1950843,2.34,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N(C)[C@H]2CCCN(CCc3ccccc3)C2,1,1,[0 1 1 ... 0 0 0],11
3547,3547,CHEMBL1950850,2.39,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@H]2CCCN(CCc3ccc(F)cc3)C2,1,1,[0 1 1 ... 0 0 0],11
3719,3719,CHEMBL1950853,1.47,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2cccc(OC)c2)C1)C(C)(C)C,1,1,[0 1 0 ... 0 0 0],11
3932,3932,CHEMBL1950852,1.61,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccccc2OC)C1)C(C)(C)C,1,1,[0 1 0 ... 0 0 0],11
100,100,CHEMBL2331746,1.49,CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3ccc(O)c(Oc4ccccc4)c3)C(=O)NC1=O,1,1,[0 0 0 ... 0 0 0],12
235,235,CHEMBL2331753,2.27,CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3ccc(O)c(Oc4cccc(c4)C(F)(F)F)c3)C(=O)NC1=O,1,1,[0 0 0 ... 0 0 0],12
499,499,CHEMBL2331752,2.35,CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3ccc(O)c(Oc4cc(F)cc(Cl)c4)c3)C(=O)NC1=O,1,1,[0 0 0 ... 0 0 0],12
1025,1025,CHEMBL2331749,2.12,CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3ccc(O)c(Oc4ccc(Cl)cc4)c3)C(=O)NC1=O,1,1,[0 0 0 ... 0 0 0],12
1287,1287,CHEMBL2331751,2.3,CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3ccc(O)c(Oc4cccc(Br)c4)c3)C(=O)NC1=O,1,1,[0 0 0 ... 0 0 0],12
1367,1367,CHEMBL2331742,-1.28,CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3ccc(C(=O)O)c(Oc4cccc(Cl)c4)c3)C(=O)NC1=O,0,0,[0 0 0 ... 0 0 0],12
2211,2211,CHEMBL2331748,1.6,CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3ccc(O)c(Oc4cccc(F)c4)c3)C(=O)NC1=O,1,1,[0 0 0 ... 0 0 0],12
2439,2439,CHEMBL2331754,2.69,CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3ccc(CO)c(Oc4cccc(Cl)c4)c3)C(=O)NC1=O,1,1,[0 0 0 ... 0 0 0],12
2717,2717,CHEMBL2331743,1.96,CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3ccc(C(=O)N)c(Oc4cccc(Cl)c4)c3)C(=O)NC1=O,1,1,[0 0 0 ... 0 0 0],12
3022,3022,CHEMBL2331738,2.32,CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3cccc(Oc4ccccc4)c3)C(=O)NC1=O,1,1,[0 0 0 ... 0 0 0],12
3079,3079,CHEMBL2331745,2.73,COc1ccc(cc1Oc2cccc(Cl)c2)S(=O)(=O)N3CCC[C@@H](C3)N4C=C(C)C(=O)NC4=O,1,1,[0 0 0 ... 0 0 0],12
3925,3925,CHEMBL2331750,2.4,CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3ccc(O)c(Oc4ccc(Cl)c(C)c4)c3)C(=O)NC1=O,1,1,[0 0 0 ... 0 0 0],12
4010,4010,CHEMBL2331740,-0.87,CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3ccc(C(=O)O)c(Oc4ccc(Cl)c(Cl)c4)c3)C(=O)NC1=O,0,0,[0 0 0 ... 0 0 0],12
56,56,CHEMBL2335875,3.21,COCCNC(=O)c1cccc(Nc2ncc3cc(ccc3n2)c4ccncc4)c1,1,1,[0 0 0 ... 0 0 0],13
654,654,CHEMBL2335887,2.78,COCCC(=O)Nc1ccc(Nc2ncc3cc(ccc3n2)c4ccncc4)cc1,1,1,[0 0 0 ... 0 0 0],13
677,677,CHEMBL2335881,1.86,COCCNCc1ccc(Nc2ncc3cc(ccc3n2)c4ccncc4)cc1,1,1,[0 0 0 ... 0 0 0],13
787,787,CHEMBL2335883,1.4,CN(C)CCNCc1ccc(Nc2ncc3cc(ccc3n2)c4ccncc4)cc1,1,1,[0 0 0 ... 0 0 0],13
828,828,CHEMBL2335876,2.78,COCCNC(=O)c1ccc(Nc2ncc3cc(ccc3n2)c4ccncc4)cc1C,1,1,[0 0 0 ... 0 0 0],13
892,892,CHEMBL2335865,3.56,COCCNC(=O)c1ccc(Nc2ncc3cc(ccc3n2)c4ccnc(C)c4)cc1,1,1,[0 0 0 ... 0 0 0],13
1258,1258,CHEMBL2335885,3.23,COCCC(=O)N(C)c1ccc(Nc2ncc3cc(ccc3n2)c4ccncc4)cc1,1,1,[0 0 0 ... 0 0 0],13
1380,1380,CHEMBL2335882,2.65,COCCN(C)Cc1ccc(Nc2ncc3cc(ccc3n2)c4ccncc4)cc1,1,1,[0 0 0 ... 0 0 0],13
1608,1608,CHEMBL2335870,3.11,COCCNC(=O)c1ccc(Nc2ncc3cc(ccc3n2)c4cccnc4)cc1,1,1,[0 0 0 ... 0 0 0],13
1748,1748,CHEMBL2335878,2.29,CN(C)CCNC(=O)c1ccc(Nc2ncc3cc(ccc3n2)c4ccncc4)cc1,1,1,[0 0 0 ... 0 0 0],13
2651,2651,CHEMBL2335886,3.1,COCCOc1ccc(Nc2ncc3cc(ccc3n2)c4ccncc4)cc1,1,1,[0 0 0 ... 0 0 0],13
2705,2705,CHEMBL2335889,3.04,CC(=O)Nc1ccc(Nc2ncc3cc(ccc3n2)c4ccncc4)cc1,1,1,[0 0 0 ... 0 0 0],13
3160,3160,CHEMBL2335884,2.66,C(CN1CCCC1)Oc2ccc(Nc3ncc4cc(ccc4n3)c5ccncc5)cc2,1,1,[0 0 0 ... 0 0 0],13
